loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,end_date,loan_status
1,4512,Home,545642.51,10.56,13-03-11,13-03-19,Closed
2,656,Car,454714.63,7.5,06-06-19,06-06-27,Default
3,4348,Car,1044928.95,13.42,10-01-10,10-01-28,Default
4,214,Car,488388.31,13.45,12-08-15,12-08-31,Closed
5,4156,Home,1233982.1,5.9,25-06-23,25-06-27,Closed
6,2450,Home,3790382.26,6.97,22-09-22,22-09-29,Closed
7,4769,Car,4430010.85,7.36,29-05-24,29-05-42,Closed
8,4307,Education,347519.8,7,06-03-20,06-03-35,Active
9,4082,Personal,1508569.71,5.27,06-03-23,06-03-28,Active
10,467,Home,2017615.54,9.66,21-01-16,21-01-19,Closed
11,3024,Home,60561.84,9.5,12-04-14,12-04-31,Active
12,1310,Education,1293274.31,10.91,01-09-17,01-09-31,Default
13,3958,Education,1201400.16,5.68,30-11-20,30-11-28,Default
14,3345,Car,3561247.56,12.97,10-10-23,10-10-32,Default
15,1979,Home,2834618.54,8.14,05-05-19,05-05-30,Closed
16,2629,Personal,2511468.59,13.63,04-10-21,04-10-36,Active
17,2993,Personal,1735572.44,5.82,01-10-22,01-10-30,Active
18,3838,Home,1865366.57,6.24,21-02-21,21-02-24,Default
19,2525,Home,2615638.08,5.85,28-02-16,28-02-21,Default
20,395,Education,4198909.13,7.87,03-08-21,03-08-32,Closed
21,1411,Education,2524895.23,6.32,31-10-18,31-10-21,Default
22,2431,Personal,813927.87,5.58,03-09-19,03-09-35,Default
23,41,Education,3960771.7,13.92,15-09-23,15-09-29,Closed
24,1034,Education,3219735.16,6.02,04-04-19,04-04-33,Default
25,2722,Education,1294535.87,5.97,28-08-23,28-08-36,Active
26,3243,Home,1124346.77,8.72,10-05-24,10-05-33,Closed
27,1999,Home,807779.82,7.45,20-08-22,20-08-28,Active
28,3505,Home,2761517.39,6.94,30-04-23,30-04-36,Closed
29,849,Personal,4128498.37,7.01,16-03-20,16-03-31,Closed
30,2894,Personal,1865604.11,10.26,30-11-18,30-11-24,Default
31,3857,Car,976262.87,5.28,12-10-12,12-10-29,Default
32,1980,Education,485428.26,5.49,09-09-15,09-09-18,Default
33,4911,Home,4354725.01,10.33,29-04-22,29-04-35,Default
34,2731,Home,1344876.34,6.7,22-10-13,22-10-15,Active
35,3728,Car,4539457.76,8.37,20-04-24,20-04-41,Closed
36,4059,Car,4157801.99,13.01,21-06-23,21-06-28,Default
37,298,Car,2498217.68,9.74,07-05-16,07-05-22,Default
38,2465,Personal,3122414.77,8.19,14-09-19,14-09-37,Active
39,3783,Personal,4884682.97,11.91,05-04-15,05-04-25,Closed
40,2653,Home,3130609.29,6.54,03-10-16,03-10-25,Closed
41,4574,Personal,3579013.68,11.33,02-08-18,02-08-30,Closed
42,1515,Car,3205639.67,7.49,12-12-21,12-12-25,Active
43,2993,Car,4471218.56,11.91,11-07-14,11-07-18,Closed
44,4449,Education,265744.33,7.93,17-07-22,17-07-35,Closed
45,13,Home,4204355.5,12.68,16-06-22,16-06-38,Default
46,4984,Car,3368346.86,7.21,21-11-24,21-11-25,Closed
47,1149,Car,478558.02,8.95,15-09-20,15-09-28,Default
48,3215,Home,2359791.08,7.2,19-04-19,19-04-21,Default
49,506,Education,2029269.82,7.25,24-10-20,24-10-29,Default
50,158,Home,2702714.44,10.11,28-05-24,28-05-43,Active
51,3785,Car,1270054.76,7.13,18-09-24,18-09-44,Active
52,2549,Car,1273807.35,13.13,30-05-22,30-05-23,Closed
53,2081,Education,2086476.06,8.16,09-02-17,09-02-24,Closed
