display_id,loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,end_date,loan_status,loan_duration_months,risk_category,outlier_flag
1,1,4512,Home,545642.51,10.56,2011-03-13,2019-03-13,Closed,96,High,0
2,2,656,Car,454714.63,7.50,2019-06-06,2027-06-06,Default,96,Medium,0
3,3,4348,Car,1044928.95,13.42,2010-01-10,2028-01-10,Default,216,High,0
4,4,214,Car,488388.31,13.45,2015-08-12,2031-08-12,Closed,192,Medium,0
5,5,4156,Home,1233982.10,5.90,2023-06-25,2027-06-25,Closed,48,High,0
6,6,2450,Home,3790382.26,6.97,2022-09-22,2029-09-22,Closed,84,High,0
7,7,4769,Car,4430010.85,7.36,2024-05-29,2042-05-29,Closed,216,High,0
8,8,4307,Education,347519.80,7.00,2020-03-06,2035-03-06,Active,180,Medium,0
9,9,4082,Personal,1508569.71,5.27,2023-03-06,2028-03-06,Active,60,High,0
10,10,467,Home,2017615.54,9.66,2016-01-21,2019-01-21,Closed,36,High,0
11,11,3024,Home,60561.84,9.50,2014-04-12,2031-04-12,Active,204,Low,0
12,12,1310,Education,1293274.31,10.91,2017-09-01,2031-09-01,Default,168,High,0
13,13,3958,Education,1201400.16,5.68,2020-11-30,2028-11-30,Default,96,High,0
14,14,3345,Car,3561247.56,12.97,2023-10-10,2032-10-10,Default,108,High,0
15,15,1979,Home,2834618.54,8.14,2019-05-05,2030-05-05,Closed,132,High,0
16,16,2629,Personal,2511468.59,13.63,2021-10-04,2036-10-04,Active,180,High,0
17,17,2993,Personal,1735572.44,5.82,2022-10-01,2030-10-01,Active,96,High,0
18,18,3838,Home,1865366.57,6.24,2021-02-21,2024-02-21,Default,36,High,0
19,19,2525,Home,2615638.08,5.85,2016-02-28,2021-02-28,Default,60,High,0
20,20,395,Education,4198909.13,7.87,2021-08-03,2032-08-03,Closed,132,High,0
21,21,1411,Education,2524895.23,6.32,2018-10-31,2021-10-31,Default,36,High,0
22,22,2431,Personal,813927.87,5.58,2019-09-03,2035-09-03,Default,192,High,0
23,23,41,Education,3960771.70,13.92,2023-09-15,2029-09-15,Closed,72,High,0
24,24,1034,Education,3219735.16,6.02,2019-04-04,2033-04-04,Default,168,High,0
25,25,2722,Education,1294535.87,5.97,2023-08-28,2036-08-28,Active,156,High,0
26,26,3243,Home,1124346.77,8.72,2024-05-10,2033-05-10,Closed,108,High,0
27,27,1999,Home,807779.82,7.45,2022-08-20,2028-08-20,Active,72,High,0
28,28,3505,Home,2761517.39,6.94,2023-04-30,2036-04-30,Closed,156,High,0
29,29,849,Personal,4128498.37,7.01,2020-03-16,2031-03-16,Closed,132,High,0
30,30,2894,Personal,1865604.11,10.26,2018-11-30,2024-11-30,Default,72,High,0
31,31,3857,Car,976262.87,5.28,2012-10-12,2029-10-12,Default,204,High,0
32,32,1980,Education,485428.26,5.49,2015-09-09,2018-09-09,Default,36,Medium,0
33,33,4911,Home,4354725.01,10.33,2022-04-29,2035-04-29,Default,156,High,0
34,34,2731,Home,1344876.34,6.70,2013-10-22,2015-10-22,Active,24,High,0
35,35,3728,Car,4539457.76,8.37,2024-04-20,2041-04-20,Closed,204,High,0
36,36,4059,Car,4157801.99,13.01,2023-06-21,2028-06-21,Default,60,High,0
37,37,298,Car,2498217.68,9.74,2016-05-07,2022-05-07,Default,72,High,0
38,38,2465,Personal,3122414.77,8.19,2019-09-14,2037-09-14,Active,216,High,0
39,39,3783,Personal,4884682.97,11.91,2015-04-05,2025-04-05,Closed,120,High,0
40,40,2653,Home,3130609.29,6.54,2016-10-03,2025-10-03,Closed,108,High,0
41,41,4574,Personal,3579013.68,11.33,2018-08-02,2030-08-02,Closed,144,High,0
42,42,1515,Car,3205639.67,7.49,2021-12-12,2025-12-12,Active,48,High,0
43,43,2993,Car,4471218.56,11.91,2014-07-11,2018-07-11,Closed,48,High,0
44,44,4449,Education,265744.33,7.93,2022-07-17,2035-07-17,Closed,156,Medium,0
45,45,13,Home,4204355.50,12.68,2022-06-16,2038-06-16,Default,192,High,0
46,46,4984,Car,3368346.86,7.21,2024-11-21,2025-11-21,Closed,12,High,0
47,47,1149,Car,478558.02,8.95,2020-09-15,2028-09-15,Default,96,Medium,0
48,48,3215,Home,2359791.08,7.20,2019-04-19,2021-04-19,Default,24,High,0
49,49,506,Education,2029269.82,7.25,2020-10-24,2029-10-24,Default,108,High,0
50,50,158,Home,2702714.44,10.11,2024-05-28,2043-05-28,Active,228,High,0
51,51,3785,Car,1270054.76,7.13,2024-09-18,2044-09-18,Active,240,High,0
52,52,2549,Car,1273807.35,13.13,2022-05-30,2023-05-30,Closed,12,High,0
53,53,2081,Education,2086476.06,8.16,2017-02-09,2024-02-09,Closed,84,High,0
54,54,2001,Personal,1098316.20,8.87,2021-01-16,2040-01-16,Closed,228,High,0
55,55,877,Personal,979426.06,12.19,2019-03-25,2035-03-25,Default,192,High,0
56,56,3155,Car,4502365.30,7.91,2012-08-21,2024-08-21,Closed,144,High,0
57,57,4699,Education,1875138.98,11.63,2018-04-06,2031-04-06,Active,156,High,0
58,58,2894,Car,2851105.60,11.22,2021-12-19,2032-12-19,Default,132,High,0
59,59,3541,Education,2901109.27,13.15,2018-06-11,2019-06-11,Closed,12,High,0
60,60,2374,Home,585665.07,12.26,2022-12-13,2035-12-13,Closed,156,High,0
61,61,96,Personal,907261.26,10.98,2019-01-26,2022-01-26,Closed,36,High,0
62,62,803,Car,3053144.51,5.49,2022-09-23,2039-09-23,Closed,204,High,0
63,63,4280,Home,4968902.58,7.97,2024-04-24,2025-04-24,Closed,12,High,0
64,64,807,Home,1011357.31,6.66,2020-02-18,2037-02-18,Default,204,High,0
65,65,2031,Home,725310.00,10.02,2011-01-09,2013-01-09,Active,24,High,0
66,66,3686,Car,443924.12,11.67,2024-12-03,2030-12-03,Default,72,Medium,0
67,67,329,Personal,2583927.42,10.24,2017-12-30,2033-12-30,Default,192,High,0
68,68,3223,Car,4117248.03,7.08,2017-07-11,2029-07-11,Default,144,High,0
69,69,2515,Car,2446851.55,13.54,2021-10-16,2025-10-16,Closed,48,High,0
70,70,1569,Education,3591322.47,10.63,2023-12-09,2036-12-09,Closed,156,High,0
71,71,1180,Education,3349489.74,13.93,2010-08-21,2014-08-21,Default,48,High,0
72,72,427,Home,61148.09,5.74,2022-10-17,2033-10-17,Default,132,Low,0
73,73,4738,Car,1160145.68,12.26,2018-01-16,2032-01-16,Closed,168,High,0
74,74,1395,Car,2340630.53,11.38,2006-10-07,2018-10-07,Closed,144,High,0
75,75,4174,Education,4973214.54,10.31,2021-06-09,2026-06-09,Active,60,High,0
76,76,739,Education,3044941.41,7.64,2024-08-14,2036-08-14,Closed,144,High,0
77,77,4522,Education,2106814.45,5.05,2024-12-19,2026-12-19,Closed,24,High,0
78,78,416,Car,3617351.29,8.55,2020-04-18,2029-04-18,Active,108,High,0
79,79,2177,Car,3705519.04,10.47,2021-09-26,2031-09-26,Active,120,High,0
80,80,1919,Home,2398773.05,6.64,2017-03-09,2036-03-09,Default,228,High,0
